date,description,amount,category
2026-05-24,Shell petrol,-82.39,transport
2026-05-25,ACME PTE LTD SALARY,4200.0,income
2026-05-25,Din Tai Fung,-35.32,food
2026-05-25,Guardian Pharmacy,-36.83,health
2026-05-26,Gojek ride,-19.19,transport
2026-05-26,Grab ride,-25.84,transport
2026-05-26,Udemy course,-33.33,education
2026-05-27,Fund transfer own account,-500.0,transfer
2026-05-27,Din Tai Fung,-34.18,food
2026-05-27,Ya Kun Kaya Toast,-10.21,food
2026-05-27,Shell petrol,-84.11,transport
2026-05-28,Gojek ride,-17.66,transport
2026-05-28,ComfortDelGro taxi,-14.88,transport
2026-05-28,Agoda hotel,-337.46,travel
2026-05-29,Grab ride,-11.23,transport
2026-05-31,Shell petrol,-60.14,transport
2026-05-31,IKEA Alexandra,-170.52,shopping
2026-05-31,Steam purchase,-52.83,entertainment
2026-06-01,Din Tai Fung,-43.42,food
2026-06-01,Din Tai Fung,-30.51,food
2026-06-01,foodpanda order,-32.06,food
2026-06-01,Sheng Siong,-44.79,groceries
2026-06-02,Tim Ho Wan,-21.22,food
2026-06-03,Hawker Chan,-11.14,food
2026-06-03,Giant Tampines,-59.5,groceries
2026-06-04,Polyclinic consult,-21.6,health
2026-06-05,Shell petrol,-85.04,transport
2026-06-05,Gojek ride,-22.11,transport
2026-06-05,Shopee order,-41.49,shopping
2026-06-05,Shopee order,-125.51,shopping
2026-06-06,Kopitiam Toa Payoh,-7.91,food
2026-06-07,Income insurance premium,-120.0,bills
2026-06-08,Town Council S&CC,-78.0,bills
2026-06-09,Giant Tampines,-37.17,groceries
2026-06-09,Grab ride,-19.35,transport
2026-06-09,Gojek ride,-19.25,transport
2026-06-10,Cold Storage Holland V,-99.07,groceries
2026-06-10,Shell petrol,-86.39,transport
2026-06-11,Din Tai Fung,-47.04,food
2026-06-13,Starbucks Raffles,-8.68,food
2026-06-13,Gojek ride,-22.9,transport
2026-06-13,Golden Village cinema,-13.9,entertainment
2026-06-14,Din Tai Fung,-43.11,food
2026-06-15,McDonald's Orchard,-12.12,food
2026-06-15,Hawker Chan,-9.55,food
2026-06-15,Shell petrol,-85.74,transport
2026-06-16,Din Tai Fung,-46.71,food
2026-06-17,SP Group utilities,-87.06,bills
2026-06-18,Starbucks Raffles,-7.55,food
2026-06-18,Shell petrol,-61.52,transport
2026-06-18,ComfortDelGro taxi,-17.19,transport
2026-06-18,IKEA Alexandra,-165.47,shopping
2026-06-18,Popular Bookstore,-62.99,education
2026-06-19,Ya Kun Kaya Toast,-11.52,food
2026-06-19,foodpanda order,-26.34,food
2026-06-19,ComfortDelGro taxi,-24.18,transport
2026-06-19,Shopee order,-19.39,shopping
2026-06-20,Kopitiam Toa Payoh,-6.47,food
2026-06-22,Din Tai Fung,-44.08,food
2026-06-22,Gojek ride,-14.8,transport
2026-06-22,Singtel mobile,-42.0,bills
2026-06-23,Kopitiam Toa Payoh,-5.5,food
2026-06-23,Ya Kun Kaya Toast,-9.89,food
2026-06-23,SimplyGo MRT top-up,-32.65,transport
2026-06-24,Spotify Premium,-11.98,entertainment
2026-06-25,ACME PTE LTD SALARY,4200.0,income
2026-06-25,NTUC FairPrice Clementi,-39.42,groceries
2026-06-26,foodpanda order,-15.22,food
2026-06-26,Gojek ride,-20.87,transport
2026-06-26,Watsons,-42.03,health
2026-06-27,Fund transfer own account,-500.0,transfer
2026-06-27,Starbucks Raffles,-6.73,food
2026-06-27,Giant Tampines,-64.58,groceries
2026-06-27,Steam purchase,-47.79,entertainment
2026-06-28,Hawker Chan,-11.15,food
2026-06-28,ComfortDelGro taxi,-27.16,transport
